CMPD_CHEMBLID	CANONICAL_SMILES	ACTIVITY_ID	Inhibition
CHEMBL384407	CS(=O)(=O)CCN(CC#N)Cc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2	8153751	1.2
CHEMBL517907	CS(=O)(=O)CCNCCCCOc1ccc2ncnc(Nc3cccc(c3)C#C)c2c1	8194211	13.37
CHEMBL1909352	Cl.Cc1cc(O)cc(C)c1\C=C\c2cncc(c2)c3nn[nH]n3	8181634	4.82
CHEMBL1909393	Cl.[O-][S+]1CCN(Cc2oc(cc2)c3ccc4ncnc(Nc5ccc(OCc6ccccc6)c(Cl)c5)c4c3)CC1	8100939	2.62
CHEMBL275168	Fc1ccc(cc1)c2ncn(C3CCNCC3)c2c4ccnc(Oc5ccc(Cl)cc5)n4	8109593	0.39
CHEMBL1909403	OCCCNc1nccc(n1)c2c(nn3cc(ccc23)C(F)(F)F)c4ccc(F)cc4.OC(=O)\C=C\C(=O)O	8097574	-4.2
CHEMBL1909382	Cl.NC(=O)c1cccc(Nc2nccc(Nc3cccc(F)c3)n2)c1	8108055	31.98
CHEMBL347580	COc1ccc(cc1)C2=C(N3CCc4ccccc34)C(=O)NC2=O	8191099	7.64
CHEMBL1794065	CCn1c(nc2c(ncc(OCC3CCNCC3)c12)C#CC(C)(C)O)c4nonc4N.OC(=O)C(F)(F)F	8175132	12.53
CHEMBL1789963	Oc1c(Cl)cc(C=C2C(=O)Nc3ccc(cc23)C(=O)c4occc4)cc1Cl	8199796	7.05
CHEMBL407113	NS(=O)(=O)c1cccc(c1)c2ccc3c(NC(=O)C4CC4)n[nH]c3c2	8177427	-4.88
CHEMBL428877	CCc1ccc(Oc2nccc(n2)c3c(ncn3C4CCNCC4)c5ccc(F)cc5)cc1	8129554	4.5
CHEMBL189353	CN(c1ccc(NC(=O)Nc2c(Cl)cccc2Cl)cc1)c3ccnc(Nc4cccc(CS(=O)(=O)C)c4)n3	8150373	19.67
CHEMBL185962	Nc1nonc1c2nc3cnccc3n2C4CC4	8225501	3.24
CHEMBL467581	COc1cc(C)c(cc1Nc2nc(Nc3cccc(F)c3C(=O)N)c4cc[nH]c4n2)N(C)C(=O)CN(C)C	8140959	-5.28
CHEMBL205798	CC(=O)Nc1cccc(c1)C#Cc2cncnc2Nc3ccc(OCc4cccc(F)c4)c(Cl)c3	8110399	3.66
CHEMBL103080	CS(=O)(=O)Nc1cccc(c1)c2ccc3c(NC(=O)C4CC4)n[nH]c3c2	8085192	0.48
CHEMBL175321	Oc1ccc2\C(=C\3/C(=O)Nc4ccccc34)\CCc2c1	8221033	12.7
CHEMBL1909341	Cl.N(c1ccc(Oc2ccccc2)cc1)c3oc(cn3)c4ccccc4	8221691	3.56
CHEMBL514499	COc1cc2ncn(c3cc(OCc4ccccc4C(F)(F)F)c(s3)C(=O)N)c2cc1OC	8127659	2.62
CHEMBL187081	COc1cccc(Nc2nccc(n2)c3cnn4ncccc34)c1	8128833	13.17
CHEMBL156524	Clc1ccc(cc1)C2=C(N3CCc4ccccc34)C(=O)NC2=O	8203241	0.25
CHEMBL220243	COC(=O)c1cncc(\C=C\c2c(C)cc(O)cc2C)c1	8178618	4.21
CHEMBL63728	COc1cc(\C=N\Nc2ncnc3c2cnn3C(C)C)ccc1O	8193550	14.2
CHEMBL272414	CN(C)c1ccc2NC(=O)\C(=C/Nc3ccc(cc3)S(=O)(=O)N)\c2c1	8185133	14.2
CHEMBL182283	Cc1ccc(cc1)c2oc3ncnc(NC(=O)C4CC4)c3c2	8160917	1.7
CHEMBL385426	CCc1cccc(CC)c1\C=C\c2cncc(c2)C(=O)NC	8196406	-10.1
CHEMBL186213	COc1ccc(cc1)c2nn3ncccc3c2c4ccnc(Nc5cccc(c5)C(F)(F)F)n4	8090969	3.13
CHEMBL520037	COc1cc(Nc2ncc3c(C)nc(c4cccc(c4)C(F)(F)F)n3n2)cc(OC)c1OC	8161921	8.95
CHEMBL473420	COC(=O)c1sc(cc1OCc2ccccc2C(F)(F)F)n3cnc4cc(OC)c(OC)cc34	8215492	-0.23
CHEMBL1909410	OC(=O)C(F)(F)F.Fc1ccc(F)c(Cn2ccc3cc(Nc4ncnc5cc(C#C[C@@H]6C[C@H](CN6)OC(=O)N7CCOCC7)sc45)ccc23)c1	8219980	1.68
CHEMBL1909349	CCn1c(nc2c(nc(O[C@@H](CN)c3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N.OC(=O)C(F)(F)F	8078865	4.4
CHEMBL1794062	Cl.COc1ccccc1Nc2oc(cn2)c3ccccc3	8092049	5.2
CHEMBL441702	CC1=C(C(CC(=O)N1)c2ccc3ccccc3c2)C(=O)Nc4ccc5[nH]ncc5c4	8213052	29.46
CHEMBL234838	Fc1ccccc1C(=O)Nc2sc3CCCCc3c2C#N	8142369	-1.49
CHEMBL1909389	Cl.CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5ccccc5)c(c4)C(F)(F)F)c3c2	8143981	3.56
CHEMBL206544	CC(C)c1ccc(cc1)c2cc(ccn2)c3c[nH]nc3c4ccccn4	8071972	1.1
CHEMBL233002	Fc1ccc(C(=O)Nc2sc3CCCCc3c2C#N)c4ccccc14	8224532	11.48
CHEMBL1909367	Cl.COC(=O)Nc1nc2ccc(cc2[nH]1)S(=O)(=O)c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3	8068969	-1.29
CHEMBL220465	CCn1c(nc2cnc(Oc3cccc(NC(=O)c4ccc(cc4)N(C)C)c3)cc12)c5nonc5N	8067489	2.7
CHEMBL205765	CC(=O)Nc1cccc(n1)C#Cc2cncnc2Nc3ccc(OCc4cccc(F)c4)c(Cl)c3	8119835	14.77
CHEMBL272026	NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3ccc(cc23)C(=O)NCCCn4ccnc4)cc1	8084870	23.78
CHEMBL426800	CCn1c(nc2ccc(F)cc12)c3nonc3N	8172220	10.52
CHEMBL188381	CN(c1ccc(NC(=O)Nc2ccc(OC(F)(F)F)cc2)cc1)c3ccnc(Nc4cccc(c4)S(=O)(=O)N)n3	8095320	12.81
