"Molecule ChEMBL ID","Molecular Weight","AlogP","Smiles","IC50"
"CHEMBL1682367",416.49,2.4,"Cc1cc(Nc2nc(nn3cccc23)N4CCN(CC4)C(=O)Cc5ccccc5)n[nH]1",2.8
"CHEMBL1682369",354.42,1.56,"CCC(=O)N1CCN(CC1)c2nc(Nc3cc(C)[nH]n3)c4cccn4n2",22.0
"CHEMBL1682371",402.46,2.47,"Cc1cc(Nc2nc(nn3cccc23)N4CCN(CC4)C(=O)c5ccccc5)n[nH]1",2.2
"CHEMBL1682373",416.49,2.78,"Cc1cc(Nc2nc(nn3cccc23)N4CCN(CC4)C(=O)c5ccccc5C)n[nH]1",3.0
"CHEMBL1682375",427.47,2.34,"Cc1cc(Nc2nc(nn3cccc23)N4CCN(CC4)C(=O)c5ccccc5C#N)n[nH]1",6.0
"CHEMBL1682377",432.49,2.48,"COc1ccccc1C(=O)N2CCN(CC2)c3nc(Nc4cc(C)[nH]n4)c5cccn5n3",3.5
"CHEMBL1682379",481.36,3.23,"Cc1cc(Nc2nc(nn3cccc23)N4CCN(CC4)C(=O)c5ccccc5Br)n[nH]1",2.1
"CHEMBL1682381",430.52,2.7,"Cc1cc(Nc2nc(nn3cccc23)N4CCN(CC4)C(=O)Cc5ccccc5C)n[nH]1",5.3
"CHEMBL1682383",434.48,2.53,"Cc1cc(Nc2nc(nn3cccc23)N4CCN(CC4)C(=O)Cc5ccccc5F)n[nH]1",4.6
"CHEMBL1682385",446.52,2.4,"COc1ccc(CC(=O)N2CCN(CC2)c3nc(Nc4cc(C)[nH]n4)c5cccn5n3)cc1",1.2
"CHEMBL1682387",452.47,2.67,"Cc1cc(Nc2nc(nn3cccc23)N4CCN(CC4)C(=O)Cc5ccc(F)cc5F)n[nH]1",2.4
"CHEMBL1774053",380.4,4.75,"C[C@H](Nc1nc(Nc2cc([nH]n2)C3CC3)c(F)cc1C#N)c4ccc(F)cc4",3.0
"CHEMBL1784637",582.63,2.87,"CNC(=O)c1ncc(C#Cc2cc(ccc2C)C(=O)Nc3ccc(CN4CCN(CCO)CC4)c(c3)C(F)(F)F)n1C",536.0
